id,year,keywords,_url
BV044029711,1547,"Moibanus. Johannes,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044029711-5"
BV044029745,1547,"Moibanus. Johannes,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044029745-3"
BV044207319,1542,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207319-4"
BV044207354,1543,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207354-3"
BV044207365,1544,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207365-4"
BV044207397,1546,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207397-6"
BV044207423,1546,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207423-7"
BV044207434,1547,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207434-8"
BV044207513,1547,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207513-7"
BV044207521,1547,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207521-2"
BV044207541,1548,"Niger. Antonius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044207541-2"
BV044208190,1537,"Niger. Antonius,Musa. Anton","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044208190-3"
BV044215116,1535,"Opsopoeus. Vincentius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044215116-8"
BV044215159,1536,"Opsopoeus. Vincentius,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044215159-9"
BV044216108,1529,"Curio. Georg,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044216108-8"
BV044374785,1542,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374785-9"
BV044374827,1542,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374827-3"
BV044374837,1543,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374837-8"
BV044374850,1543,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374850-1"
BV044374856,1543,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374856-3"
BV044374859,1543,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374859-4"
BV044374864,1544,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374864-8"
BV044374870,1546,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374870-2"
BV044374922,1548,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374922-8"
BV044374934,1548,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374934-4"
BV044374944,1549,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374944-0"
BV044374951,1549,"Fuchs. Leonhart,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044374951-9"
BV044406560,1549,"Prünsterer. Johann,Hess. Johann","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044406560-2"
BV044449723,1531,"Grynäus. Simon,Bullinger. Heinrich","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv044449723-0"
